epoch,train_loss,train_bce,train_reg,train_mono,val_loss,val_mAP,lr,time_sec,best_val_loss
0,0.593477,0.583475,0.020004,0.000000,3.373371,0.683799,0.010000,91.2,inf
1,0.482173,0.468668,0.027009,0.000000,5.224589,0.644330,0.010000,90.6,3.373371
2,0.410714,0.394465,0.032497,0.000000,5.170940,0.678715,0.010000,90.5,3.373371
3,0.319375,0.298465,0.041821,0.000000,6.787896,0.714516,0.010000,90.9,3.373371
4,0.266141,0.243886,0.044508,0.000000,5.800876,0.677235,0.010000,90.7,3.373371
5,0.212326,0.186380,0.051891,0.000000,9.301436,0.672199,0.010000,90.7,3.373371
6,0.154789,0.128099,0.053379,0.000000,10.304725,0.632292,0.010000,90.6,3.373371
7,0.119653,0.089261,0.060783,0.000000,18.818257,0.674825,0.010000,90.7,3.373371
8,0.152821,0.123116,0.059409,0.000000,11.557501,0.660538,0.010000,90.8,3.373371
9,0.117855,0.088605,0.058500,0.000000,13.893547,0.637983,0.010000,90.7,3.373371
10,0.087700,0.056920,0.061560,0.000000,14.984332,0.690262,0.010000,90.7,3.373371
11,0.095584,0.064844,0.061481,0.000000,7.651900,0.622816,0.010000,90.8,3.373371
12,0.068182,0.035623,0.065118,0.000000,17.954501,0.717143,0.010000,90.8,3.373371
13,0.055418,0.026534,0.057768,0.000000,14.549989,0.700228,0.010000,90.8,3.373371
14,0.034941,0.006306,0.057270,0.000000,18.871027,0.715970,0.010000,90.9,3.373371
15,0.033369,0.004521,0.057696,0.000000,14.140963,0.732603,0.010000,90.8,3.373371
16,0.034481,0.003942,0.061079,0.000000,13.844116,0.740032,0.010000,90.8,3.373371
17,0.036164,0.006097,0.060134,0.000000,15.104642,0.726196,0.010000,90.7,3.373371
18,0.033202,0.004633,0.057138,0.000000,11.650919,0.724129,0.010000,90.9,3.373371
19,0.034115,0.005625,0.056980,0.000000,15.060646,0.725173,0.001000,90.7,3.373371
20,0.031708,0.004000,0.055416,0.000000,11.875400,0.729948,0.001000,90.9,3.373371
21,0.031428,0.004861,0.053136,0.000000,10.160822,0.725310,0.001000,90.9,3.373371
22,0.032247,0.004864,0.054765,0.000000,11.874276,0.732137,0.001000,91.0,3.373371
23,0.031275,0.004202,0.054147,0.000000,9.659248,0.730865,0.001000,90.9,3.373371
24,0.032551,0.004530,0.056042,0.000000,11.702645,0.734681,0.001000,90.9,3.373371
25,0.031201,0.004289,0.053822,0.000000,10.830877,0.730332,0.001000,90.7,3.373371
26,0.029920,0.004385,0.051070,0.000000,11.145477,0.731089,0.001000,90.8,3.373371
27,0.032559,0.004388,0.056342,0.000000,11.353755,0.734882,0.001000,90.8,3.373371
28,0.031183,0.004452,0.053462,0.000000,10.084938,0.731416,0.001000,90.8,3.373371
29,0.031616,0.004631,0.053970,0.000000,9.018415,0.731061,0.001000,90.9,3.373371
30,0.030861,0.004739,0.052242,0.000000,9.792518,0.739249,0.001000,91.4,3.373371
31,0.031490,0.005089,0.052802,0.000000,10.857954,0.738375,0.001000,91.5,3.373371
32,0.031042,0.004380,0.053325,0.000000,9.259163,0.733118,0.001000,91.5,3.373371
33,0.031212,0.004451,0.053522,0.000000,8.901293,0.735141,0.001000,91.5,3.373371
34,0.030587,0.004688,0.051797,0.000000,9.610768,0.741051,0.001000,91.2,3.373371
35,0.032203,0.004918,0.054570,0.000000,10.352354,0.741675,0.001000,91.7,3.373371
36,0.031392,0.004504,0.053775,0.000000,10.213243,0.733290,0.001000,91.5,3.373371
37,0.032258,0.004627,0.055262,0.000000,8.769301,0.742262,0.001000,91.3,3.373371
38,0.032486,0.004889,0.055194,0.000000,9.442507,0.743418,0.001000,91.2,3.373371
39,0.031757,0.004623,0.054268,0.000000,10.187723,0.743830,0.000100,91.4,3.373371
40,0.030678,0.004099,0.053158,0.000000,8.838176,0.739899,0.000100,91.3,3.373371
41,0.031250,0.004341,0.053819,0.000000,9.982737,0.748628,0.000100,91.3,3.373371
42,0.031652,0.004192,0.054920,0.000000,7.595524,0.735505,0.000100,91.4,3.373371
43,0.031854,0.004624,0.054459,0.000000,9.773129,0.741847,0.000100,91.3,3.373371
44,0.031962,0.004476,0.054972,0.000000,9.145633,0.746019,0.000100,91.2,3.373371
45,0.031444,0.003861,0.055165,0.000000,8.399861,0.745290,0.000100,91.0,3.373371
46,0.032467,0.004823,0.055287,0.000000,9.096875,0.741067,0.000100,91.3,3.373371
47,0.032175,0.004412,0.055525,0.000000,8.455704,0.739401,0.000100,91.2,3.373371
48,0.031751,0.004377,0.054747,0.000000,8.975970,0.735376,0.000100,91.0,3.373371
49,0.032154,0.004071,0.056165,0.000000,7.808542,0.743254,0.000100,91.1,3.373371
