[seed=44] Train: 1200 videos, 600 batches/epoch (2x12=24 clips/batch)
[seed=44] Val  : 300 videos, 38 batches/epoch (single-snippet)
Using cache found in /root/.cache/torch/hub/facebookresearch_pytorchvideo_main
Params: 31,636,545

==================================================
[seed=44] RQ2 ablation -- condition A: neither (FFR=False AMC=False pairing=random, LR=0.01, matched-budget, identical to cell34 otherwise): epoch 0 -> 49
==================================================

[seed=44] Epoch 36: train=0.0103 (bce=0.0103 reg=0.0000 mono=0.0000), val_loss=21.7690, val_mAP=0.5609, lr=0.001000, time=89.5s
[seed=44] Epoch 37: train=0.0091 (bce=0.0091 reg=0.0000 mono=0.0000), val_loss=19.6824, val_mAP=0.5670, lr=0.001000, time=89.5s
[seed=44] Epoch 38: train=0.0112 (bce=0.0112 reg=0.0000 mono=0.0000), val_loss=23.8251, val_mAP=0.5441, lr=0.001000, time=89.5s
[seed=44] Epoch 39: train=0.0108 (bce=0.0108 reg=0.0000 mono=0.0000), val_loss=21.4481, val_mAP=0.5496, lr=0.000100, time=89.6s
[seed=44] Epoch 40: train=0.0098 (bce=0.0098 reg=0.0000 mono=0.0000), val_loss=23.2702, val_mAP=0.5567, lr=0.000100, time=89.5s
[seed=44] Epoch 41: train=0.0060 (bce=0.0060 reg=0.0000 mono=0.0000), val_loss=22.6098, val_mAP=0.5508, lr=0.000100, time=89.5s
[seed=44] Epoch 42: train=0.0052 (bce=0.0052 reg=0.0000 mono=0.0000), val_loss=22.5087, val_mAP=0.5378, lr=0.000100, time=89.5s
[seed=44] Epoch 43: train=0.0065 (bce=0.0065 reg=0.0000 mono=0.0000), val_loss=23.0535, val_mAP=0.5424, lr=0.000100, time=89.5s
[seed=44] Epoch 44: train=0.0091 (bce=0.0091 reg=0.0000 mono=0.0000), val_loss=21.8388, val_mAP=0.5420, lr=0.000100, time=89.6s
[seed=44] Epoch 45: train=0.0054 (bce=0.0054 reg=0.0000 mono=0.0000), val_loss=20.3070, val_mAP=0.5480, lr=0.000100, time=89.7s
[seed=44] Epoch 46: train=0.0046 (bce=0.0046 reg=0.0000 mono=0.0000), val_loss=21.5986, val_mAP=0.5536, lr=0.000100, time=89.7s
[seed=44] Epoch 47: train=0.0050 (bce=0.0050 reg=0.0000 mono=0.0000), val_loss=22.5336, val_mAP=0.5500, lr=0.000100, time=89.6s
[seed=44] Epoch 48: train=0.0084 (bce=0.0084 reg=0.0000 mono=0.0000), val_loss=21.8964, val_mAP=0.5494, lr=0.000100, time=89.7s
[seed=44] Epoch 49: train=0.0058 (bce=0.0058 reg=0.0000 mono=0.0000), val_loss=24.0603, val_mAP=0.5530, lr=0.000100, time=89.5s

==================================================
[seed=44] Training complete! Total: 75.1 min (1.25h)
Best val_loss: 3.3483
==================================================
