epoch,train_loss,val_loss,lr,time_sec,best_val_loss
0,1.348903,1.687715,0.010000,18.9,inf
1,1.190600,1.418916,0.010000,18.6,1.687715
2,1.148688,1.380730,0.010000,20.8,1.418916
3,1.037129,1.362789,0.010000,20.6,1.380730
4,1.033358,1.293550,0.010000,17.3,1.362789
5,0.970479,1.373806,0.010000,16.7,1.293550
6,0.935076,1.756308,0.010000,20.3,1.293550
7,0.902957,1.430885,0.010000,16.6,1.293550
8,0.824254,1.335507,0.010000,15.5,1.293550
9,0.821889,1.950754,0.010000,18.2,1.293550
10,0.751312,1.424345,0.010000,24.2,1.293550
11,0.654132,2.039927,0.010000,13.8,1.293550
12,0.629374,2.040252,0.010000,15.6,1.293550
13,0.600067,1.700467,0.010000,17.3,1.293550
14,0.594600,1.797052,0.010000,29.5,1.293550
15,0.605921,1.748004,0.010000,19.0,1.293550
16,0.534583,2.212155,0.010000,18.6,1.293550
17,0.462400,3.015510,0.010000,20.6,1.293550
18,0.439229,1.877222,0.010000,17.3,1.293550
19,0.414682,2.300162,0.001000,23.4,1.293550
20,0.326385,2.128312,0.001000,18.2,1.293550
21,0.321275,2.150098,0.001000,21.5,1.293550
22,0.286375,1.971674,0.001000,20.2,1.293550
23,0.274302,2.494529,0.001000,22.6,1.293550
24,0.247213,2.325226,0.001000,21.9,1.293550
25,0.231841,2.384195,0.001000,27.0,1.293550
26,0.211274,2.391398,0.001000,32.2,1.293550
27,0.211277,2.670593,0.001000,20.2,1.293550
28,0.193784,2.605208,0.001000,19.0,1.293550
29,0.184931,3.052182,0.001000,20.9,1.293550
30,0.185395,2.708830,0.001000,21.5,1.293550
31,0.177852,2.844699,0.001000,14.2,1.293550
32,0.166745,3.044173,0.001000,17.7,1.293550
33,0.156972,2.886803,0.001000,26.0,1.293550
34,0.153866,3.010113,0.001000,18.4,1.293550
35,0.154408,3.089267,0.001000,20.0,1.293550
36,0.154038,3.131347,0.001000,16.7,1.293550
37,0.147574,2.891628,0.001000,23.1,1.293550
38,0.145527,2.983881,0.001000,19.2,1.293550
39,0.134975,3.130287,0.000100,21.1,1.293550
40,0.132163,3.141132,0.000100,17.6,1.293550
41,0.135307,2.875361,0.000100,15.7,1.293550
42,0.130302,2.821955,0.000100,19.3,1.293550
43,0.121948,3.382066,0.000100,18.6,1.293550
44,0.130666,3.003444,0.000100,21.1,1.293550
45,0.127827,2.945871,0.000100,16.2,1.293550
46,0.130523,2.854158,0.000100,21.4,1.293550
47,0.128097,2.928563,0.000100,20.8,1.293550
48,0.126471,2.988904,0.000100,18.0,1.293550
49,0.125557,2.942090,0.000100,18.1,1.293550
