epoch,train_loss,val_loss,lr,time_sec,best_val_loss
0,1.328494,1.462236,0.010000,34.3,inf
1,1.189954,1.653923,0.010000,19.8,1.462236
2,1.208371,1.375924,0.010000,17.1,1.462236
3,1.087799,1.545358,0.010000,19.3,1.375924
4,0.951343,1.738638,0.010000,19.8,1.375924
5,0.936972,1.410531,0.010000,14.4,1.375924
6,0.915399,1.745164,0.010000,16.2,1.375924
7,0.921555,1.975533,0.010000,15.4,1.375924
8,0.816167,1.901429,0.010000,18.5,1.375924
9,0.754562,1.566319,0.010000,18.1,1.375924
10,0.788638,1.317188,0.010000,21.0,1.375924
11,0.681812,2.321084,0.010000,20.8,1.317188
12,0.661111,1.434915,0.010000,17.1,1.317188
13,0.597838,1.784193,0.010000,23.4,1.317188
14,0.592478,1.498732,0.010000,14.4,1.317188
15,0.644828,1.998481,0.010000,16.6,1.317188
16,0.534228,2.521086,0.010000,28.4,1.317188
17,0.543962,2.378118,0.010000,16.2,1.317188
18,0.478363,2.425154,0.010000,14.8,1.317188
19,0.507714,2.029448,0.001000,17.4,1.317188
20,0.388842,2.078130,0.001000,16.5,1.317188
21,0.335398,2.160585,0.001000,15.5,1.317188
22,0.287762,2.204343,0.001000,20.4,1.317188
23,0.271161,2.610540,0.001000,18.6,1.317188
24,0.253901,2.570684,0.001000,16.9,1.317188
25,0.242308,2.610731,0.001000,15.6,1.317188
26,0.218420,2.679949,0.001000,13.6,1.317188
27,0.219141,2.692354,0.001000,15.4,1.317188
28,0.219000,2.734656,0.001000,14.2,1.317188
29,0.203526,3.235755,0.001000,15.1,1.317188
30,0.197718,2.688709,0.001000,18.4,1.317188
31,0.186614,2.993199,0.001000,24.2,1.317188
32,0.184123,3.238706,0.001000,13.7,1.317188
33,0.175485,2.842014,0.001000,13.9,1.317188
34,0.172681,3.040375,0.001000,18.9,1.317188
35,0.154910,3.363811,0.001000,17.3,1.317188
36,0.167651,3.111831,0.001000,21.5,1.317188
37,0.154966,3.295982,0.001000,21.2,1.317188
38,0.153026,3.182308,0.001000,28.1,1.317188
39,0.141555,3.363032,0.000100,15.2,1.317188
40,0.137562,3.624302,0.000100,12.8,1.317188
41,0.138831,3.322203,0.000100,15.8,1.317188
42,0.143322,3.504144,0.000100,16.3,1.317188
43,0.137559,3.349941,0.000100,18.5,1.317188
44,0.139061,3.360610,0.000100,18.3,1.317188
45,0.142670,2.978804,0.000100,18.0,1.317188
46,0.133636,3.297366,0.000100,12.8,1.317188
47,0.149341,3.442816,0.000100,16.8,1.317188
48,0.137831,3.227909,0.000100,16.3,1.317188
49,0.132546,3.209380,0.000100,13.8,1.317188
