epoch,train_loss,val_loss,lr,phi,n_detected,time_sec,best_val_loss
0,1.179097,1.457610,0.010000,0.5000,34,25.1,inf
1,1.028332,1.646165,0.010000,0.5882,62,23.0,1.457610
2,0.995766,1.746052,0.010000,0.6423,63,21.5,1.457610
3,0.946147,1.578955,0.010000,0.6987,35,22.4,1.457610
4,0.875790,1.683473,0.010000,0.7488,74,22.5,1.457610
5,0.790111,1.410671,0.010000,0.7895,63,22.7,1.457610
6,0.798995,1.460905,0.010000,0.8177,82,22.6,1.410671
7,0.743656,1.559164,0.010000,0.8371,67,21.9,1.410671
8,0.702967,1.767258,0.010000,0.8609,73,23.4,1.410671
9,0.713852,1.676929,0.010000,0.8974,70,20.6,1.410671
10,0.638144,1.843540,0.010000,0.9212,66,22.4,1.410671
11,0.572510,1.988537,0.010000,0.9382,83,22.5,1.410671
12,0.471439,2.006209,0.010000,0.9588,75,23.0,1.410671
13,0.568156,1.785657,0.010000,0.9796,70,23.7,1.410671
14,0.470532,5.043551,0.010000,0.9974,62,21.9,1.410671
15,0.390030,2.208235,0.010000,1.0089,87,22.5,1.410671
16,0.441687,2.573372,0.010000,1.0126,73,22.8,1.410671
17,0.515648,1.571397,0.010000,1.0189,78,24.2,1.410671
18,0.460962,2.150291,0.010000,1.0260,73,21.7,1.410671
19,0.361541,3.401903,0.001000,1.0385,76,22.3,1.410671
20,0.211492,2.277995,0.001000,1.0478,90,22.5,1.410671
21,0.123261,2.624574,0.001000,1.0624,86,21.1,1.410671
22,0.119346,2.442575,0.001000,1.0742,92,23.1,1.410671
23,0.090851,2.775603,0.001000,1.0853,91,23.3,1.410671
24,0.086497,2.570298,0.001000,1.0954,89,24.3,1.410671
25,0.083457,2.553458,0.001000,1.1067,88,21.7,1.410671
26,0.076498,2.785396,0.001000,1.1142,90,22.5,1.410671
27,0.063304,2.338025,0.001000,1.1200,88,22.8,1.410671
28,0.060777,2.761023,0.001000,1.1279,96,23.7,1.410671
29,0.062553,2.909625,0.001000,1.1370,97,21.6,1.410671
30,0.043685,2.938740,0.001000,1.1423,96,25.4,1.410671
31,0.054209,3.194385,0.001000,1.1463,90,24.9,1.410671
32,0.035496,2.824073,0.001000,1.1523,89,24.7,1.410671
33,0.044401,2.567762,0.001000,1.1561,97,23.9,1.410671
34,0.035478,2.872078,0.001000,1.1596,95,25.0,1.410671
35,0.033568,3.121352,0.001000,1.1636,85,21.6,1.410671
36,0.029367,3.259879,0.001000,1.1690,91,23.0,1.410671
37,0.028601,3.404437,0.001000,1.1747,90,23.1,1.410671
38,0.031918,2.522380,0.001000,1.1805,87,22.4,1.410671
39,0.026085,2.699039,0.000100,1.1837,89,22.7,1.410671
40,0.032410,2.793122,0.000100,1.1878,88,21.4,1.410671
41,0.028042,2.934921,0.000100,1.1906,88,23.9,1.410671
42,0.017596,3.127827,0.000100,1.1915,89,22.6,1.410671
43,0.025923,3.228179,0.000100,1.1948,90,23.1,1.410671
44,0.024225,3.056005,0.000100,1.1975,88,20.6,1.410671
45,0.020506,2.894175,0.000100,1.2005,89,22.2,1.410671
46,0.019979,2.999930,0.000100,1.2018,92,22.7,1.410671
47,0.022832,3.092038,0.000100,1.2017,93,23.8,1.410671
48,0.023938,3.189278,0.000100,1.2009,89,26.3,1.410671
49,0.030184,2.899595,0.000100,1.2033,93,23.4,1.410671
