epoch,train_loss,val_loss,lr,phi,n_detected,time_sec,best_val_loss
0,1.129508,1.566446,0.010000,0.5000,58,23.3,inf
1,0.999181,1.325284,0.010000,0.5793,51,21.8,1.566446
2,0.933180,1.402180,0.010000,0.6390,59,20.5,1.325284
3,0.863772,1.654159,0.010000,0.6997,64,23.8,1.325284
4,0.818602,2.070075,0.010000,0.7414,51,22.8,1.325284
5,0.794096,1.541219,0.010000,0.7869,79,21.8,1.325284
6,0.715622,1.417421,0.010000,0.8221,85,20.9,1.325284
7,0.657178,1.490598,0.010000,0.8505,79,23.0,1.325284
8,0.670457,1.842762,0.010000,0.8794,47,25.8,1.325284
9,0.689628,1.443435,0.010000,0.9159,86,22.3,1.325284
10,0.617902,1.679482,0.010000,0.9470,76,24.0,1.325284
11,0.576537,2.250177,0.010000,0.9628,63,21.8,1.325284
12,0.575875,1.884514,0.010000,0.9848,57,21.4,1.325284
13,0.608847,2.173730,0.010000,0.9977,61,24.7,1.325284
14,0.454107,3.035521,0.010000,1.0020,66,22.6,1.325284
15,0.458589,1.907894,0.010000,1.0162,80,23.2,1.325284
16,0.539567,3.596416,0.010000,1.0334,83,22.3,1.325284
17,0.421710,1.859232,0.010000,1.0493,83,22.2,1.325284
18,0.372594,2.235073,0.010000,1.0564,80,21.3,1.325284
19,0.455975,1.720692,0.001000,1.0639,67,22.1,1.325284
20,0.277539,1.900827,0.001000,1.0665,65,21.1,1.325284
21,0.177835,2.178088,0.001000,1.0706,75,23.5,1.325284
22,0.142586,2.185152,0.001000,1.0789,79,22.0,1.325284
23,0.140674,2.368765,0.001000,1.0881,79,20.0,1.325284
24,0.116308,2.384979,0.001000,1.0976,79,21.4,1.325284
25,0.108036,2.413947,0.001000,1.1056,68,19.2,1.325284
26,0.085792,2.247973,0.001000,1.1112,73,18.6,1.325284
27,0.103020,2.322531,0.001000,1.1179,64,18.1,1.325284
28,0.050615,2.435983,0.001000,1.1256,73,18.2,1.325284
29,0.060709,2.564470,0.001000,1.1309,76,19.0,1.325284
30,0.051941,2.564334,0.001000,1.1362,69,20.8,1.325284
31,0.045048,2.782735,0.001000,1.1393,73,20.0,1.325284
32,0.045015,2.817400,0.001000,1.1452,75,21.2,1.325284
33,0.042832,3.213600,0.001000,1.1473,78,21.1,1.325284
34,0.041571,2.865056,0.001000,1.1473,76,20.1,1.325284
35,0.049351,3.219956,0.001000,1.1504,80,20.9,1.325284
36,0.036292,2.920683,0.001000,1.1522,71,21.4,1.325284
37,0.032031,2.975671,0.001000,1.1560,72,23.5,1.325284
38,0.029105,3.223521,0.001000,1.1585,72,20.4,1.325284
39,0.028507,2.965445,0.000100,1.1621,74,22.7,1.325284
40,0.030108,3.024565,0.000100,1.1668,71,23.6,1.325284
41,0.032259,2.739066,0.000100,1.1684,70,24.8,1.325284
42,0.031798,2.841920,0.000100,1.1702,70,21.0,1.325284
43,0.016320,2.992315,0.000100,1.1710,74,22.5,1.325284
44,0.026079,3.123116,0.000100,1.1742,72,22.4,1.325284
45,0.023902,3.241669,0.000100,1.1748,71,22.2,1.325284
46,0.022726,3.034152,0.000100,1.1777,71,21.9,1.325284
47,0.028037,3.233768,0.000100,1.1769,71,22.3,1.325284
48,0.019905,2.862899,0.000100,1.1810,73,22.0,1.325284
49,0.017763,3.053611,0.000100,1.1828,72,22.0,1.325284
