epoch,train_loss,train_bce,train_reg,train_mono,val_loss,val_mAP,lr,time_sec,best_val_loss
0,0.643832,0.621926,0.015138,0.028672,8.738638,0.627937,0.010000,92.6,inf
1,0.528499,0.499164,0.025386,0.033284,3.687684,0.652244,0.010000,91.7,8.738638
2,0.415739,0.385043,0.031902,0.029489,5.479895,0.685123,0.010000,91.8,3.687684
3,0.338973,0.301769,0.042515,0.031892,5.529298,0.656404,0.010000,91.9,3.687684
4,0.264288,0.228323,0.046078,0.025852,6.297132,0.690627,0.010000,91.9,3.687684
5,0.243510,0.201712,0.051420,0.032175,5.533653,0.678948,0.010000,91.9,3.687684
6,0.193843,0.155703,0.052678,0.023603,10.703923,0.616101,0.010000,91.6,3.687684
7,0.155289,0.118112,0.055588,0.018766,8.172662,0.620368,0.010000,91.8,3.687684
8,0.156330,0.115836,0.058898,0.022090,9.096481,0.659609,0.010000,91.7,3.687684
9,0.093859,0.057080,0.057746,0.015812,17.437711,0.665266,0.010000,91.8,3.687684
10,0.089576,0.053091,0.059444,0.013527,13.986874,0.634756,0.010000,91.8,3.687684
11,0.073968,0.036824,0.060867,0.013421,20.425456,0.652281,0.010000,91.9,3.687684
12,0.081207,0.042397,0.063592,0.014029,15.559310,0.688278,0.010000,91.8,3.687684
13,0.111670,0.073609,0.059195,0.016927,24.889297,0.579529,0.010000,91.7,3.687684
14,0.087531,0.048213,0.060432,0.018204,11.833320,0.661620,0.010000,91.8,3.687684
15,0.043965,0.010564,0.058031,0.008772,18.987073,0.695300,0.010000,91.7,3.687684
16,0.035449,0.003350,0.057494,0.006704,16.781112,0.697655,0.010000,91.7,3.687684
17,0.035447,0.003662,0.057028,0.006541,28.726053,0.683465,0.010000,91.6,3.687684
18,0.035736,0.003471,0.057862,0.006668,23.050057,0.687535,0.010000,91.8,3.687684
19,0.034519,0.002834,0.057877,0.005493,24.628279,0.662793,0.001000,92.0,3.687684
20,0.036382,0.002703,0.061057,0.006300,20.728349,0.687678,0.001000,91.8,3.687684
21,0.035091,0.001756,0.060567,0.006102,22.257747,0.696043,0.001000,91.8,3.687684
22,0.035273,0.001960,0.060471,0.006155,20.332449,0.694461,0.001000,91.6,3.687684
23,0.034892,0.001944,0.061409,0.004487,20.792506,0.698932,0.001000,91.8,3.687684
24,0.034830,0.002020,0.060757,0.004863,19.233447,0.706016,0.001000,91.8,3.687684
25,0.033628,0.001395,0.058691,0.005775,20.692349,0.705525,0.001000,91.7,3.687684
26,0.034487,0.001876,0.059408,0.005813,21.604638,0.703284,0.001000,91.8,3.687684
27,0.035217,0.002270,0.059600,0.006293,23.136580,0.701560,0.001000,91.6,3.687684
28,0.034269,0.001573,0.059758,0.005636,20.404827,0.701862,0.001000,91.8,3.687684
29,0.035278,0.001682,0.060521,0.006670,18.656280,0.702745,0.001000,91.6,3.687684
30,0.036122,0.002075,0.061514,0.006582,21.016668,0.701287,0.001000,91.6,3.687684
31,0.034687,0.002053,0.059215,0.006052,18.851276,0.703921,0.001000,91.7,3.687684
32,0.034113,0.001647,0.059442,0.005490,18.337432,0.711394,0.001000,91.7,3.687684
33,0.034629,0.001889,0.060162,0.005318,20.064162,0.698238,0.001000,91.7,3.687684
34,0.035154,0.002191,0.061283,0.004642,17.390720,0.705017,0.001000,91.8,3.687684
35,0.034526,0.001771,0.060525,0.004987,20.790449,0.713042,0.001000,91.7,3.687684
36,0.033555,0.001591,0.058801,0.005128,19.963563,0.707868,0.001000,91.6,3.687684
37,0.033147,0.001484,0.058482,0.004844,18.785600,0.714244,0.001000,91.6,3.687684
38,0.034494,0.001979,0.059910,0.005120,20.070921,0.721759,0.001000,91.7,3.687684
39,0.034314,0.002430,0.059532,0.004237,21.467122,0.711675,0.000100,91.6,3.687684
40,0.033746,0.001455,0.059642,0.004940,21.548066,0.709536,0.000100,91.5,3.687684
41,0.034875,0.002154,0.060714,0.004728,19.455408,0.720184,0.000100,91.8,3.687684
42,0.035081,0.001574,0.062210,0.004805,19.927117,0.721222,0.000100,91.5,3.687684
43,0.035421,0.001646,0.060755,0.006795,20.685733,0.713299,0.000100,91.7,3.687684
44,0.035544,0.001776,0.061834,0.005702,19.819590,0.713101,0.000100,91.6,3.687684
45,0.035184,0.001470,0.061682,0.005747,17.783614,0.718348,0.000100,91.6,3.687684
46,0.034980,0.002059,0.060685,0.005155,18.742706,0.717242,0.000100,91.6,3.687684
47,0.033386,0.000834,0.060912,0.004193,17.968883,0.724957,0.000100,91.6,3.687684
48,0.035099,0.001869,0.061375,0.005084,18.229496,0.718613,0.000100,91.6,3.687684
49,0.033174,0.001591,0.058942,0.004224,18.384807,0.712469,0.000100,91.7,3.687684
