epoch,train_loss,train_bce,train_reg,train_mono,val_loss,val_mAP,lr,time_sec,best_val_loss
0,0.646255,0.619837,0.014658,0.038179,4.373457,0.582927,0.010000,94.4,inf
1,0.546711,0.517506,0.020900,0.037509,5.807990,0.695169,0.010000,93.9,4.373457
2,0.465806,0.431831,0.027974,0.039976,3.996616,0.661525,0.010000,93.1,4.373457
3,0.397579,0.359677,0.035282,0.040522,6.973912,0.641977,0.010000,93.5,3.996616
4,0.285835,0.245723,0.044380,0.035846,9.544099,0.660451,0.010000,94.0,3.996616
5,0.260885,0.220002,0.048703,0.033064,10.732629,0.639546,0.010000,93.2,3.996616
6,0.233065,0.189515,0.054092,0.033008,7.491403,0.679583,0.010000,93.4,3.996616
7,0.177969,0.137810,0.056489,0.023830,8.645979,0.665519,0.010000,93.2,3.996616
8,0.165861,0.123470,0.059105,0.025677,13.396702,0.633478,0.010000,93.7,3.996616
9,0.136443,0.100495,0.051280,0.020617,7.748611,0.655972,0.010000,93.9,3.996616
10,0.089922,0.053528,0.055642,0.017145,16.508651,0.648429,0.010000,93.9,3.996616
11,0.064708,0.030124,0.055339,0.013827,15.220910,0.699273,0.010000,94.5,3.996616
12,0.051802,0.018023,0.057958,0.009601,20.427306,0.710406,0.010000,92.9,3.996616
13,0.037052,0.007199,0.054242,0.005463,16.541101,0.728972,0.010000,91.8,3.996616
14,0.035361,0.005577,0.053705,0.005864,19.590359,0.710437,0.010000,91.7,3.996616
15,0.033921,0.003322,0.055072,0.006126,15.852024,0.712942,0.010000,91.7,3.996616
16,0.034904,0.005341,0.053323,0.005802,16.549269,0.731554,0.010000,91.6,3.996616
17,0.035312,0.002662,0.057501,0.007798,17.647537,0.752926,0.010000,91.4,3.996616
18,0.035851,0.004466,0.055526,0.007244,14.417674,0.747665,0.010000,91.6,3.996616
19,0.034551,0.003957,0.055733,0.005455,15.416904,0.736066,0.001000,91.6,3.996616
20,0.033098,0.002635,0.055111,0.005815,14.811030,0.746502,0.001000,91.6,3.996616
21,0.032036,0.002914,0.053498,0.004746,15.095372,0.752249,0.001000,91.7,3.996616
22,0.034220,0.003488,0.054793,0.006672,13.181886,0.764905,0.001000,91.5,3.996616
23,0.032102,0.003501,0.051875,0.005326,12.921659,0.766275,0.001000,91.4,3.996616
24,0.032128,0.003457,0.051742,0.005600,10.205076,0.770140,0.001000,91.5,3.996616
25,0.031266,0.003002,0.050584,0.005945,11.997104,0.772471,0.001000,91.5,3.996616
26,0.032441,0.003724,0.051899,0.005536,10.071142,0.780637,0.001000,92.0,3.996616
27,0.032631,0.003827,0.051341,0.006266,13.377425,0.778803,0.001000,91.5,3.996616
28,0.031492,0.003528,0.050790,0.005138,12.245299,0.784340,0.001000,91.5,3.996616
29,0.030350,0.003825,0.047965,0.005086,10.575350,0.780288,0.001000,91.8,3.996616
30,0.031429,0.004034,0.049898,0.004893,10.413908,0.777313,0.001000,91.6,3.996616
31,0.030502,0.003665,0.048611,0.005063,9.848463,0.776208,0.001000,91.7,3.996616
32,0.031782,0.004411,0.049743,0.005001,11.551462,0.779532,0.001000,91.7,3.996616
33,0.032457,0.004143,0.050808,0.005819,12.758411,0.773363,0.001000,92.8,3.996616
34,0.031356,0.004111,0.049276,0.005214,9.921214,0.778973,0.001000,93.4,3.996616
35,0.031512,0.003684,0.050131,0.005524,11.654911,0.778431,0.001000,93.4,3.996616
36,0.031522,0.004480,0.049230,0.004854,9.453649,0.795875,0.001000,93.5,3.996616
37,0.031004,0.004243,0.048690,0.004832,8.534011,0.785613,0.001000,92.4,3.996616
38,0.031937,0.005186,0.047886,0.005616,11.326393,0.779287,0.001000,91.8,3.996616
39,0.030679,0.004648,0.047631,0.004431,10.318890,0.782122,0.000100,91.8,3.996616
40,0.030227,0.003436,0.048603,0.004980,9.004113,0.783359,0.000100,91.8,3.996616
41,0.030770,0.003745,0.048466,0.005583,9.585255,0.780471,0.000100,91.8,3.996616
42,0.031015,0.004510,0.047964,0.005045,10.940516,0.786955,0.000100,91.8,3.996616
43,0.030999,0.004511,0.047970,0.005007,8.784850,0.784418,0.000100,91.8,3.996616
44,0.031084,0.003915,0.049384,0.004956,10.006898,0.788710,0.000100,91.7,3.996616
45,0.031832,0.004699,0.049378,0.004887,10.339571,0.786698,0.000100,91.8,3.996616
46,0.031483,0.004384,0.049747,0.004452,9.816494,0.781129,0.000100,91.8,3.996616
47,0.031616,0.004244,0.049892,0.004852,9.572462,0.786924,0.000100,91.7,3.996616
48,0.032739,0.004718,0.050723,0.005318,9.548636,0.789056,0.000100,91.7,3.996616
49,0.030520,0.003960,0.048323,0.004796,9.160424,0.783814,0.000100,91.7,3.996616
