epoch,train_loss,train_bce,train_reg,train_mono,val_loss,val_mAP,lr,time_sec,best_val_loss
0,0.621106,0.592716,0.017994,0.038785,3.383038,0.688912,0.010000,92.4,inf
1,0.525168,0.495030,0.023187,0.037088,6.880856,0.679755,0.010000,91.7,3.383038
2,0.431434,0.394987,0.031638,0.041255,5.500948,0.614357,0.010000,91.7,3.383038
3,0.406956,0.370428,0.034895,0.038160,6.251946,0.686761,0.010000,91.7,3.383038
4,0.329723,0.289732,0.040195,0.039787,7.618131,0.669071,0.010000,91.7,3.383038
5,0.252484,0.215437,0.044530,0.029563,9.567932,0.663424,0.010000,91.7,3.383038
6,0.209655,0.172763,0.047879,0.025903,12.499055,0.619496,0.010000,91.6,3.383038
7,0.114283,0.078597,0.054681,0.016689,11.298554,0.664589,0.010000,91.7,3.383038
8,0.146333,0.106937,0.056746,0.022048,21.947224,0.577903,0.010000,91.7,3.383038
9,0.150312,0.111869,0.055500,0.021387,10.473826,0.682309,0.010000,91.9,3.383038
10,0.104855,0.068262,0.056500,0.016687,13.106653,0.700161,0.010000,91.6,3.383038
11,0.114576,0.076721,0.057617,0.018093,18.541908,0.602980,0.010000,91.5,3.383038
12,0.055575,0.022464,0.056315,0.009906,20.593183,0.715022,0.010000,91.7,3.383038
13,0.041490,0.010511,0.054504,0.007454,14.932797,0.690091,0.010000,91.7,3.383038
14,0.036172,0.005764,0.053907,0.006909,15.968741,0.722936,0.010000,91.7,3.383038
15,0.033129,0.003569,0.053838,0.005281,14.510925,0.743734,0.010000,91.6,3.383038
16,0.035704,0.004156,0.056831,0.006266,20.745333,0.738800,0.010000,91.7,3.383038
17,0.034258,0.002946,0.055911,0.006713,12.655934,0.743304,0.010000,91.7,3.383038
18,0.032801,0.002931,0.054634,0.005106,16.454659,0.752489,0.010000,91.7,3.383038
19,0.077930,0.043610,0.056298,0.012342,17.567488,0.663950,0.001000,91.6,3.383038
20,0.064843,0.032975,0.053396,0.010338,12.732178,0.705769,0.001000,91.8,3.383038
21,0.039595,0.011378,0.049157,0.007278,12.488600,0.719037,0.001000,91.7,3.383038
22,0.035305,0.007764,0.047661,0.007421,13.803898,0.720871,0.001000,91.7,3.383038
23,0.034741,0.006566,0.049087,0.007262,12.507682,0.729995,0.001000,91.6,3.383038
24,0.033502,0.005038,0.050379,0.006549,14.022882,0.736062,0.001000,91.7,3.383038
25,0.032294,0.005439,0.047501,0.006209,15.283648,0.732255,0.001000,91.6,3.383038
26,0.030123,0.004231,0.045904,0.005880,14.033234,0.740142,0.001000,91.6,3.383038
27,0.033322,0.004672,0.051011,0.006288,13.817988,0.743636,0.001000,91.7,3.383038
28,0.033011,0.004722,0.049712,0.006866,14.386489,0.745662,0.001000,91.7,3.383038
29,0.031076,0.003607,0.049449,0.005488,11.834542,0.750063,0.001000,91.7,3.383038
30,0.031422,0.003687,0.049168,0.006303,13.154422,0.743326,0.001000,91.6,3.383038
31,0.031791,0.003795,0.050414,0.005578,13.324007,0.746128,0.001000,91.6,3.383038
32,0.031279,0.003193,0.051359,0.004813,11.963722,0.747445,0.001000,92.5,3.383038
33,0.031961,0.003421,0.051732,0.005349,14.079794,0.747910,0.001000,92.8,3.383038
34,0.031455,0.003253,0.051423,0.004981,12.614890,0.754748,0.001000,92.5,3.383038
35,0.032596,0.003272,0.052814,0.005835,13.321514,0.751315,0.001000,92.9,3.383038
36,0.032224,0.003061,0.053313,0.005014,13.168756,0.745914,0.001000,92.9,3.383038
37,0.033139,0.003324,0.053423,0.006205,14.084683,0.740456,0.001000,93.2,3.383038
38,0.032742,0.003035,0.053957,0.005457,12.694844,0.751239,0.001000,93.0,3.383038
39,0.032239,0.003118,0.053181,0.005061,13.520826,0.746058,0.000100,93.2,3.383038
40,0.031261,0.002330,0.052668,0.005193,12.087222,0.754443,0.000100,92.9,3.383038
41,0.031628,0.003113,0.051657,0.005374,13.558598,0.763034,0.000100,91.9,3.383038
42,0.032282,0.003126,0.053532,0.004780,11.857345,0.755790,0.000100,91.8,3.383038
43,0.032708,0.003273,0.053887,0.004983,14.709178,0.748118,0.000100,91.9,3.383038
44,0.032132,0.002423,0.054237,0.005182,13.050970,0.753178,0.000100,91.8,3.383038
45,0.033280,0.002805,0.054542,0.006408,12.157462,0.755729,0.000100,91.8,3.383038
46,0.032435,0.002781,0.054311,0.004996,13.714222,0.762890,0.000100,91.8,3.383038
47,0.032121,0.003104,0.052907,0.005127,13.032726,0.756513,0.000100,91.7,3.383038
48,0.033528,0.003398,0.054860,0.005399,11.532145,0.752375,0.000100,91.7,3.383038
49,0.032303,0.003273,0.053403,0.004655,13.477595,0.752742,0.000100,91.7,3.383038
