epoch,train_loss,train_bce,train_reg,train_mono,val_loss,val_mAP,lr,time_sec,best_val_loss
0,0.654388,0.627264,0.015661,0.038588,6.887389,0.632457,0.010000,93.1,inf
1,0.522649,0.492865,0.021749,0.037819,3.681524,0.652603,0.010000,91.7,6.887389
2,0.453340,0.421167,0.028721,0.035625,6.877094,0.648189,0.010000,91.7,3.681524
3,0.383946,0.345847,0.037654,0.038544,7.685842,0.584695,0.010000,91.8,3.681524
4,0.300637,0.263221,0.041484,0.033348,6.124947,0.685387,0.010000,91.9,3.681524
5,0.267357,0.227346,0.047317,0.032705,7.307247,0.645590,0.010000,91.6,3.681524
6,0.213959,0.177377,0.048428,0.024736,8.983028,0.643646,0.010000,91.7,3.681524
7,0.143130,0.106973,0.053918,0.018397,12.459650,0.612939,0.010000,91.6,3.681524
8,0.181031,0.138320,0.056193,0.029229,14.655106,0.608372,0.010000,91.6,3.681524
9,0.123057,0.086152,0.056985,0.016825,18.633069,0.623842,0.010000,91.7,3.681524
10,0.125167,0.087543,0.057682,0.017567,14.738815,0.618922,0.010000,91.6,3.681524
11,0.109695,0.073303,0.057894,0.014890,15.343999,0.658597,0.010000,91.7,3.681524
12,0.075831,0.041873,0.057648,0.010269,22.378133,0.614804,0.010000,91.7,3.681524
13,0.065126,0.031563,0.057183,0.009942,19.949276,0.652038,0.010000,91.7,3.681524
14,0.044079,0.010303,0.059001,0.008551,20.116091,0.665094,0.010000,91.6,3.681524
15,0.035748,0.004729,0.056808,0.005231,21.960981,0.656750,0.010000,91.7,3.681524
16,0.035875,0.003584,0.057303,0.007280,17.944315,0.680417,0.010000,91.8,3.681524
17,0.033828,0.003518,0.054877,0.005743,21.981769,0.665652,0.010000,91.6,3.681524
18,0.033895,0.003111,0.056286,0.005281,20.456549,0.687770,0.010000,91.5,3.681524
19,0.033590,0.003552,0.055082,0.004992,16.764045,0.704486,0.001000,91.6,3.681524
20,0.034146,0.003311,0.055513,0.006157,17.890492,0.704255,0.001000,91.7,3.681524
21,0.033601,0.002690,0.056246,0.005575,17.895069,0.708926,0.001000,91.6,3.681524
22,0.035056,0.002157,0.057962,0.007837,14.978206,0.705617,0.001000,91.7,3.681524
23,0.034511,0.002755,0.057229,0.006282,17.358319,0.712598,0.001000,91.8,3.681524
24,0.034073,0.002725,0.056844,0.005854,18.363358,0.710660,0.001000,92.8,3.681524
25,0.032490,0.002735,0.054590,0.004920,16.340803,0.711846,0.001000,91.8,3.681524
26,0.033309,0.002210,0.056132,0.006066,17.566500,0.714101,0.001000,91.5,3.681524
27,0.034317,0.002742,0.057123,0.006028,16.349702,0.717162,0.001000,91.6,3.681524
28,0.033826,0.002967,0.055484,0.006235,15.096573,0.715572,0.001000,91.8,3.681524
29,0.033160,0.002615,0.054997,0.006093,13.087850,0.718986,0.001000,91.7,3.681524
30,0.033852,0.003416,0.054896,0.005975,13.963152,0.715739,0.001000,91.8,3.681524
31,0.034589,0.002397,0.057597,0.006787,15.733892,0.708538,0.001000,91.6,3.681524
32,0.033039,0.002585,0.054741,0.006169,13.941690,0.714728,0.001000,91.7,3.681524
33,0.034178,0.002692,0.056926,0.006047,16.419676,0.706801,0.001000,91.7,3.681524
34,0.033956,0.002563,0.056973,0.005813,11.836275,0.731057,0.001000,91.6,3.681524
35,0.034422,0.003272,0.055962,0.006339,15.912168,0.715858,0.001000,91.7,3.681524
36,0.033761,0.002708,0.056642,0.005462,15.004257,0.719691,0.001000,91.6,3.681524
37,0.032270,0.002740,0.053590,0.005469,14.817081,0.718161,0.001000,91.6,3.681524
38,0.033502,0.002316,0.056395,0.005977,13.721329,0.720950,0.001000,91.9,3.681524
39,0.033619,0.002303,0.056858,0.005775,15.361276,0.712924,0.000100,91.7,3.681524
40,0.032472,0.002385,0.055188,0.004985,14.136932,0.715334,0.000100,91.9,3.681524
41,0.033818,0.002130,0.057523,0.005852,15.021667,0.713815,0.000100,91.6,3.681524
42,0.033806,0.002903,0.057133,0.004674,16.412645,0.716465,0.000100,91.8,3.681524
43,0.032817,0.002029,0.056280,0.005295,14.061364,0.722292,0.000100,91.7,3.681524
44,0.034250,0.003050,0.056688,0.005710,13.169864,0.717293,0.000100,91.8,3.681524
45,0.034668,0.002763,0.057716,0.006094,12.080465,0.721766,0.000100,92.9,3.681524
46,0.033700,0.002197,0.057856,0.005150,14.157838,0.718416,0.000100,93.2,3.681524
47,0.033627,0.002675,0.056484,0.005421,16.039990,0.721651,0.000100,93.3,3.681524
48,0.034611,0.002150,0.058089,0.006833,13.344505,0.718329,0.000100,93.2,3.681524
49,0.034199,0.003186,0.056861,0.005164,13.074599,0.723771,0.000100,93.3,3.681524
