epoch,train_loss,train_bce,train_reg,train_mono,val_loss,val_mAP,lr,time_sec,best_val_loss
0,0.594188,0.563674,0.020592,0.040436,6.004532,0.672870,0.010000,139.0,inf
1,0.485529,0.453204,0.025122,0.039527,6.302960,0.675713,0.010000,139.3,6.004532
2,0.386537,0.353887,0.030899,0.034401,4.844854,0.688657,0.010000,163.3,6.004532
3,0.290913,0.253714,0.040838,0.033561,8.060858,0.655337,0.010000,156.0,4.844854
4,0.274125,0.232719,0.045124,0.037687,5.686206,0.700041,0.010000,167.1,4.844854
5,0.205733,0.167607,0.047891,0.028360,12.289365,0.696070,0.010000,146.1,4.844854
6,0.178739,0.140723,0.050723,0.025309,15.223539,0.708109,0.010000,120.4,4.844854
7,0.141308,0.102933,0.054537,0.022212,11.236465,0.680338,0.010000,113.5,4.844854
8,0.131373,0.093216,0.055095,0.021218,6.437392,0.645140,0.010000,119.6,4.844854
9,0.107842,0.069305,0.056705,0.020369,21.250193,0.633648,0.010000,125.5,4.844854
10,0.092392,0.054722,0.058082,0.017257,16.210455,0.647913,0.010000,121.0,4.844854
11,0.060713,0.027353,0.056302,0.010420,22.019099,0.647145,0.010000,121.5,4.844854
12,0.087007,0.048389,0.060714,0.016522,6.391991,0.716770,0.010000,123.4,4.844854
13,0.082102,0.045145,0.057108,0.016805,13.864838,0.687507,0.010000,125.0,4.844854
14,0.055685,0.021354,0.056219,0.012442,22.658238,0.659459,0.010000,119.5,4.844854
15,0.041744,0.009972,0.055246,0.008298,14.945186,0.718928,0.010000,117.2,4.844854
16,0.036943,0.004626,0.056204,0.008432,18.752357,0.699335,0.010000,125.6,4.844854
17,0.035520,0.003206,0.055514,0.009113,16.480565,0.724646,0.010000,124.6,4.844854
18,0.033530,0.002398,0.055457,0.006807,16.500331,0.734454,0.010000,124.6,4.844854
19,0.034908,0.003155,0.056224,0.007281,15.351052,0.720691,0.001000,126.5,4.844854
20,0.032873,0.001786,0.055863,0.006310,13.767181,0.722253,0.001000,117.7,4.844854
21,0.031681,0.002651,0.053410,0.004649,11.100042,0.733660,0.001000,120.5,4.844854
22,0.032328,0.002765,0.053679,0.005447,12.991918,0.732011,0.001000,118.3,4.844854
23,0.032049,0.002393,0.053248,0.006065,11.191240,0.735043,0.001000,118.1,4.844854
24,0.033455,0.002764,0.054871,0.006511,10.944385,0.737626,0.001000,131.3,4.844854
25,0.031319,0.002833,0.051776,0.005195,12.924359,0.732993,0.001000,128.9,4.844854
26,0.030442,0.002685,0.049861,0.005654,12.145618,0.740660,0.001000,117.5,4.844854
27,0.032291,0.002876,0.052691,0.006139,11.025019,0.731165,0.001000,119.1,4.844854
28,0.032769,0.003002,0.053256,0.006279,12.219855,0.736743,0.001000,130.9,4.844854
29,0.031220,0.002518,0.051188,0.006216,10.131829,0.740726,0.001000,120.8,4.844854
30,0.030981,0.002811,0.051400,0.004941,9.164464,0.735799,0.001000,121.9,4.844854
31,0.031318,0.003061,0.050360,0.006152,9.822895,0.735570,0.001000,112.2,4.844854
32,0.031317,0.002879,0.051470,0.005407,10.256392,0.741885,0.001000,113.7,4.844854
33,0.031515,0.002873,0.051613,0.005671,11.555425,0.742156,0.001000,117.1,4.844854
34,0.031713,0.003318,0.050562,0.006226,11.021535,0.748698,0.001000,117.2,4.844854
35,0.031435,0.002827,0.051519,0.005698,9.934369,0.739143,0.001000,109.3,4.844854
36,0.031062,0.002929,0.051128,0.005136,10.845019,0.728579,0.001000,112.2,4.844854
37,0.030875,0.003395,0.048909,0.006051,9.820996,0.750989,0.001000,112.3,4.844854
38,0.031931,0.003198,0.051743,0.005723,10.065103,0.739328,0.001000,109.0,4.844854
39,0.031797,0.003008,0.051701,0.005878,10.544619,0.732727,0.000100,111.4,4.844854
40,0.031483,0.003068,0.051796,0.005035,9.549883,0.724078,0.000100,108.5,4.844854
41,0.030730,0.002984,0.050129,0.005361,12.443382,0.744849,0.000100,107.9,4.844854
42,0.031625,0.003038,0.051985,0.005189,8.060542,0.734902,0.000100,114.4,4.844854
43,0.031904,0.003400,0.051410,0.005598,10.965188,0.731208,0.000100,112.1,4.844854
44,0.031334,0.003313,0.050746,0.005296,10.179370,0.738639,0.000100,105.8,4.844854
45,0.031067,0.003251,0.050685,0.004946,9.418038,0.733501,0.000100,108.9,4.844854
46,0.031650,0.003433,0.051192,0.005241,10.422868,0.743948,0.000100,107.0,4.844854
47,0.031221,0.003109,0.051042,0.005181,9.702212,0.738922,0.000100,104.8,4.844854
48,0.031559,0.003279,0.051298,0.005262,8.864402,0.734565,0.000100,104.3,4.844854
49,0.032307,0.003778,0.051352,0.005706,9.014989,0.742293,0.000100,106.0,4.844854
