run,method,seed,checkpoint,epoch,mAP,AP@0.5s,AP@1.0s,AP@1.5s,VideoAUC,mAUC01@0.5s,mAUC01@1.0s,mAUC01@1.5s,mAUC01,Recall@0.5s,Recall@1.0s,Recall@1.5s,ActualFAR@0.5s,ActualFAR@1.0s,ActualFAR@1.5s,Threshold@0.5s,Threshold@1.0s,Threshold@1.5s,mTTA_detected,mTTA_all,Coverage
adalea_seed42,AdaLEA,42,best,7,0.760956512210547,0.8039805854990993,0.7570284428907504,0.7218605082417912,0.7631111111111113,0.3324444444444445,0.24266666666666667,0.22133333333333333,0.2654814814814815,0.5133333333333333,0.42,0.38666666666666666,0.1,0.09333333333333334,0.1,0.8429379463195801,0.8435352444648743,0.8424118161201477,1.1956521739130435,0.7333333333333333,0.6133333333333333
adalea_seed43,AdaLEA,43,latest,50,0.7303378593503456,0.7716016222569653,0.7386068269427446,0.6808051288513268,0.7493333333333333,0.25088888888888894,0.24,0.16111111111111112,0.21733333333333335,0.38,0.37333333333333335,0.2733333333333333,0.09333333333333334,0.1,0.1,0.996570348739624,0.9951983094215393,0.9947255253791809,1.2083333333333333,0.58,0.48
adalea_seed44,AdaLEA,44,latest,50,0.7269483539879813,0.7768136098703993,0.7141011813448789,0.6899302707486655,0.7445111111111112,0.29577777777777775,0.21400000000000002,0.20622222222222222,0.23866666666666667,0.54,0.4066666666666667,0.41333333333333333,0.1,0.1,0.1,0.9706860780715942,0.9659996032714844,0.9649716019630432,1.2204301075268817,0.7566666666666667,0.62
riskprop_fixed_seed42,RiskProp fixed,42,latest,50,0.739338595565555,0.8148551949426022,0.7383968260617386,0.6647637656923243,0.7622888888888889,0.3313333333333333,0.20466666666666666,0.1408888888888889,0.22562962962962962,0.5266666666666666,0.37333333333333335,0.25333333333333335,0.1,0.1,0.1,0.876966118812561,0.8897401690483093,0.8929038047790527,1.0449438202247192,0.6200000000000001,0.5933333333333334
riskprop_fixed_seed43,RiskProp fixed,43,latest,50,0.7408024613181728,0.8086935889382376,0.7389031769254799,0.6748106180908007,0.7753333333333333,0.296,0.19644444444444442,0.12400000000000001,0.2054814814814815,0.5133333333333333,0.38666666666666666,0.29333333333333333,0.1,0.1,0.1,0.8819561004638672,0.8797096014022827,0.8836022019386292,1.1043956043956045,0.67,0.6066666666666667
riskprop_fixed_seed44,RiskProp fixed,44,latest,50,0.7479893143376662,0.827026850137994,0.7403949111911378,0.6765461816838674,0.7418666666666668,0.3631111111111111,0.2128888888888889,0.14888888888888888,0.24162962962962964,0.5266666666666666,0.36666666666666664,0.3,0.1,0.1,0.1,0.7705786824226379,0.7710055112838745,0.7812877297401428,1.086021505376344,0.6733333333333332,0.62
riskprop_random_seed42,RiskProp random,42,latest,50,0.7108366902019805,0.7943800625023961,0.6981983556085729,0.6399316524949727,0.747688888888889,0.24533333333333332,0.12755555555555556,0.08133333333333334,0.1514074074074074,0.36666666666666664,0.24666666666666667,0.16,0.09333333333333334,0.09333333333333334,0.09333333333333334,0.9921448826789856,0.9922053217887878,0.9919901490211487,1.0153846153846153,0.44,0.43333333333333335
riskprop_random_seed43,RiskProp random,43,latest,50,0.7481117096270827,0.8192627622670043,0.7455101929532733,0.6795621736609709,0.7548888888888888,0.34444444444444444,0.22488888888888886,0.15022222222222223,0.23985185185185184,0.52,0.4066666666666667,0.32,0.1,0.1,0.1,0.9463834166526794,0.9384586811065674,0.9411695003509521,1.127659574468085,0.7066666666666667,0.6266666666666667
riskprop_random_seed44,RiskProp random,44,latest,50,0.776890410223671,0.8377470472508841,0.7731904494474428,0.7197337339726864,0.8011111111111112,0.4033333333333333,0.27155555555555555,0.21622222222222226,0.29703703703703704,0.5866666666666667,0.44666666666666666,0.34,0.1,0.1,0.1,0.8638608455657959,0.8696835041046143,0.8691715002059937,1.168421052631579,0.74,0.6333333333333333
top_seed42,TOP,42,latest,50,0.7626195504472131,0.8199570777170446,0.7668915822528497,0.7010099913717449,0.7825333333333334,0.31866666666666665,0.2631111111111111,0.1802222222222222,0.25399999999999995,0.48,0.41333333333333333,0.2866666666666667,0.1,0.09333333333333334,0.1,0.9994483590126038,0.9995073080062866,0.9994576573371887,1.0923913043478262,0.67,0.6133333333333333
top_seed43,TOP,43,latest,50,0.7372772873839176,0.7791758017532568,0.7445314978487527,0.6881245625497434,0.7638222222222222,0.24266666666666667,0.22088888888888886,0.15422222222222226,0.20592592592592593,0.44,0.38,0.28,0.1,0.1,0.1,0.9993506073951721,0.9993923902511597,0.9994308352470398,1.130952380952381,0.6333333333333334,0.56
top_seed44,TOP,44,latest,50,0.7540933745170025,0.8204383424125943,0.7517667827066079,0.6900749984318054,0.7696000000000001,0.2942222222222222,0.20222222222222225,0.12933333333333333,0.20859259259259258,0.5066666666666667,0.38,0.26666666666666666,0.1,0.1,0.1,0.9977295994758606,0.9976634979248047,0.9976791739463806,1.0360824742268042,0.67,0.6466666666666666
